Genome	Contig	Position_in_Contig	GenomeWide_Position	Length
sequence_0	NC_004431.1	1020	1020	4	1020	NC_004431.1	1020	791489	CP041955.1	791489
sequence_0	NC_004431.1	6187	6187	6	6187	NC_004431.1	6187	796659	CP041955.1	796659
sequence_0	NC_004431.1	6243	6243	1	6243	NC_004431.1	6243	796715	CP041955.1	796715
sequence_0	NC_004431.1	6281	6281	107	6281	NC_004431.1	6281	796740	CP041955.1	796740
sequence_0	NC_004431.1	10715	10715	12	10715	NC_004431.1	10715	801099	CP041955.1	801099
sequence_0	NC_004431.1	12610	12610	5	12610	NC_004431.1	12610	803005	CP041955.1	803005
sequence_0	NC_004431.1	16176	16176	1353	16176	NC_004431.1	16176	806572	CP041955.1	806572
sequence_0	NC_004431.1	20613	20613	82	20613	NC_004431.1	20613	808351	CP041955.1	808351
sequence_0	NC_004431.1	20719	20719	1	20719	NC_004431.1	20719	808538	CP041955.1	808538
sequence_0	NC_004431.1	20835	20835	1	20835	NC_004431.1	20835	808655	CP041955.1	808655
sequence_0	NC_004431.1	23025	23025	4460	23025	NC_004431.1	23025	810791	CP041955.1	810791
sequence_0	NC_004431.1	30861	30861	34	30861	NC_004431.1	30861	822671	CP041955.1	822671
sequence_0	NC_004431.1	40499	40499	1	40499	NC_004431.1	40499	832339	CP041955.1	832339
sequence_0	NC_004431.1	46255	46255	1	46255	NC_004431.1	46255	838086	CP041955.1	838086
sequence_0	NC_004431.1	46798	46798	32	46798	NC_004431.1	46798	838627	CP041955.1	838627
sequence_0	NC_004431.1	53552	53552	58	53552	NC_004431.1	53552	844798	CP041955.1	844798
sequence_0	NC_004431.1	61489	61489	1529	61489	NC_004431.1	61489	852664	CP041955.1	852664
sequence_0	NC_004431.1	68342	68342	4	68342	NC_004431.1	68342	860330	CP041955.1	860330
sequence_0	NC_004431.1	75559	75559	7	75559	NC_004431.1	75559	865717	CP041955.1	865717
sequence_0	NC_004431.1	82679	82679	1257	82679	NC_004431.1	82679	872097	CP041955.1	872097
sequence_0	NC_004431.1	87382	87382	1	87382	NC_004431.1	87382	878056	CP041955.1	878056
sequence_0	NC_004431.1	87427	87427	1	87427	NC_004431.1	87427	878102	CP041955.1	878102
sequence_0	NC_004431.1	87834	87834	1	87834	NC_004431.1	87834	878510	CP041955.1	878510
sequence_0	NC_004431.1	87917	87917	1	87917	NC_004431.1	87917	878594	CP041955.1	878594
